Título,Referenciado en,Agregado por,,,,,,
"Mansilla, Eduarda. Pablo, o la vida en las pampas. Buenos Aires: Biblioteca Nacional, 2007.",Mujeres en tránsito,Vanesa Miseres,,,,,,
"Mansilla, Eduarda. Recuerdos de viaje. Buenos Aires: Stockcero, 2006.",Food Studies; Mujeres en tránsito,Vanesa Miseres,,,,,,
"Mariátegui, José Carlos. Siete ensayos de interpretación de la realidad peruana. Caracas: Biblioteca Ayacucho, 2007.",Espectros y conjuras; El estado mestizo; Mujeres en tránsito; Instable puente,Carlos Jáuregui; Joshua Lund; Vanesa Miseres; Juan Vitulli,,,,,,
"Martí, José. Nuestra América. Caracas: Biblioteca Ayacucho, 2005",Mujeres en tránsito; Food Studies,Vanesa Miseres,,,,,,
"Matto de Turner, Clorinda. Aves sin nido. México, D.F.: Colofón, 2001.",Mujeres en tránsito,Vanesa Miseres,,,,,,
"Matto de Turner, Clorinda. Bocetos al lápiz de americanos célebres. Lima: Imprenta Bacigalupi, 1890.",Instable puente,Juan Vitulli,,,,,,
"Matto de Turner, Clorinda. Boreales, miniaturas y porcelanas. Buenos Aires: Imprenta Juan de Alsina, 1902.",Mujeres en tránsito,Vanesa Miseres,,,,,,
"Matto de Turner, Clorinda. Herencia (novela peruana). Edited by Mary Berg. Buenos Aires: Stock Cero, 2006",Food Studies,Vanesa Miseres,,,,,,
"Matto de Turner, Clorinda. Hima–Sumac; drama en tres actos y en prosa. Lima: Imprenta La Equitativa, 1892.",Mujeres en tránsito,Vanesa Miseres,,,,,,
"Matto de Turner, Clorinda. Viaje de recreo: España, Francia, Inglaterra, Italia, Suiza y Alemania. Valencia: Francisco Sempere y Compañía, 1909.",Mujeres en tránsito,Vanesa Miseres,,,,,,
"Mendieta, Gerónimo de. Historia eclesiástica indiana, vol. I. Madrid: Atlas, [1597], 1973.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Menéndez Pelayo, Marcelino. Antología de poetas-hispanoamericanos. Madrid: Sucesores de Rivadeneyra, 1931.",Instable puente,Juan Vitulli,,,,,,
"Miranda, Francisco de. Diario de viajes. Caracas: Monte Ávila Editores, 1992",Mujeres en tránsito,Vanesa Miseres,,,,,,
"Mora, José María Luis. 1849 [1994]. “Carta dirigida al Gobierno de México, Londres, julio 31 de 1849.” In Obras completas, vol. 7, Obra diplomática, 275–78. Mexico City: Instituto Mora/CONACULTA..",El estado mestizo,Joshua Lund,,,,,,
"Motolinía (fray Toribio de Benavente). Historia de los indios de la Nueva España. Ed. Giuseppe Bellini. Madrid: Alianza, [1858], 1988.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Moya, Casimiro Nemesio de. Bosquejo histórico del descubrimiento y con quista de la isla de Santo Domingo y narración de los principales sucesos ocurridos en la parte española de ella desde la sumisión de su último cacique hasta nuestros días. Libro primero. Época de la conquista y gobierno de los españoles hasta la sumisión de los últimos indios. Santo Domingo: Imprenta La Cuna de América, Viuda de Roques & Cía., 1913.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Moya, Casimiro Nemesio de. Episodios nacionales: novela histórica y de costumbres nacionales. Santo Domingo: Sociedad Dominicana de Bibliófilos, 1985",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Núñez Cabeza de Vaca, Álvar. La relación que dio Alvar Núñez Cabeza de Vaca [Naufragios]. Alvar Núñez Cabeza de Vaca, His Account, His Life, and the Expedition of Pánfilo de Narváez, 3 vols. Ed. Rolena Adorno y Patrick Charles Pautz. Lincoln: University of Nebraska Press, 1999, I, pp. 14-279.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Núñez Cabeza de Vaca, Álvar. Naufragios y comentarios. Madrid: Historia 16, [1542, 1555], 1984.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Núñez Cabeza de Vaca, Álvar. Naufragios. Ed., prólogo y notas Vanina M. Teglia. Buenos Aires: Corregidor, [1542], 2013.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Ortiz, Fernando. Contrapunteo cubano del tabaco y el azúcar. Havana: J. Montero, 1940.",El estado mestizo; Food Studies,Joshua Lund; Vanesa Miseres,,,,,,
